# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
   4640.00       0.0767298004   -1151.8695485396   -1151.9462783400       0.0000000000    2307.3474282737       0.0000000000
   4680.00       0.0769766829   -1151.8698588671   -1151.9468355500       0.0000000000    2314.7714498317       0.0000000000
   4720.00       0.0811901584   -1151.8709119116   -1151.9521020700       0.0000000000    2441.4751779290       0.0000000000
   4760.00       0.0786253308   -1151.8703692592   -1151.9489945900       0.0000000000    2364.3480616156       0.0000000000
   4800.00       0.0791666307   -1151.8687270093   -1151.9478936400       0.0000000000    2380.6255301936       0.0000000000
   4840.00       0.0938705866   -1151.8712522934   -1151.9651228800       0.0000000000    2822.7892618243       0.0000000000
   4880.00       0.1003977340   -1151.8708584660   -1151.9712562000       0.0000000000    3019.0675867814       0.0000000000
   4920.00       0.0976277050   -1151.8696825650   -1151.9673102700       0.0000000000    2935.7698433447       0.0000000000
   4960.00       0.0987670870   -1151.8700345530   -1151.9688016400       0.0000000000    2970.0322808277       0.0000000000
   5000.00       0.1046957373   -1151.8697643927   -1151.9744601300       0.0000000000    3148.3131572973       0.0000000000
   5040.00       0.1174744350   -1151.8699027250   -1151.9873771600       0.0000000000    3532.5823089171       0.0000000000
   5080.00       0.1344203569   -1151.8707940831   -1152.0052144400       0.0000000000    4042.1643612378       0.0000000000
   5120.00       0.1466464325   -1151.8705273975   -1152.0171738300       0.0000000000    4409.8155733877       0.0000000000
