# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
   2000.00       0.6409097508    -688.1237952372    -688.7647049880       0.0000000000   16863.7384046920       0.0000000000
   2040.00       0.6320804027    -688.1222125753    -688.7542929780       0.0000000000   16631.4189290676       0.0000000000
   2080.00       0.6161818802    -688.1213303758    -688.7375122560       0.0000000000   16213.0940041626       0.0000000000
   2120.00       0.6072568179    -688.1211608631    -688.7284176810       0.0000000000   15978.2560768790       0.0000000000
   2160.00       0.6089155483    -688.1213580607    -688.7302736090       0.0000000000   16021.9009061128       0.0000000000
   2200.00       0.6188252352    -688.1216473558    -688.7404725910       0.0000000000   16282.6464582741       0.0000000000
   2240.00       0.6317168847    -688.1224469183    -688.7541638030       0.0000000000   16621.8539745877       0.0000000000
   2280.00       0.6352433256    -688.1237750734    -688.7590183990       0.0000000000   16714.6423546252       0.0000000000
   2320.00       0.6236625890    -688.1204075520    -688.7440701410       0.0000000000   16409.9278250345       0.0000000000
   2360.00       0.6279606142    -688.1220901188    -688.7500507330       0.0000000000   16523.0182761833       0.0000000000
   2400.00       0.6376715733    -688.1238525267    -688.7615241000       0.0000000000   16778.5348656237       0.0000000000
   2440.00       0.6280777836    -688.1222804894    -688.7503582730       0.0000000000   16526.1012611169       0.0000000000
   2480.00       0.6135766844    -688.1216095416    -688.7351862260       0.0000000000   16144.5455997337       0.0000000000
   2520.00       0.6057156807    -688.1215421723    -688.7272578530       0.0000000000   15937.7053842895       0.0000000000
   2560.00       0.6072129606    -688.1214976294    -688.7287105900       0.0000000000   15977.1020971341       0.0000000000
   2600.00       0.6181657132    -688.1218562868    -688.7400220000       0.0000000000   16265.2929905908       0.0000000000
   2640.00       0.6314013414    -688.1233498846    -688.7547512260       0.0000000000   16613.5513402377       0.0000000000
   2680.00       0.6289524016    -688.1236863444    -688.7526387460       0.0000000000   16549.1143731910       0.0000000000
   2720.00       0.6187329326    -688.1195549434    -688.7382878760       0.0000000000   16280.2177755676       0.0000000000
   2760.00       0.6277301744    -688.1236881656    -688.7514183400       0.0000000000   16516.9549003294       0.0000000000
   2800.00       0.6288755179    -688.1232135961    -688.7520891140       0.0000000000   16547.0913947039       0.0000000000
   2840.00       0.6151037130    -688.1220067080    -688.7371104210       0.0000000000   16184.7250628861       0.0000000000
   2880.00       0.6015561671    -688.1215456199    -688.7231017870       0.0000000000   15828.2594783345       0.0000000000
   2920.00       0.5966176754    -688.1213108766    -688.7179285520       0.0000000000   15698.3169516803       0.0000000000
   2960.00       0.6032111831    -688.1215724619    -688.7247836450       0.0000000000   15871.8065704956       0.0000000000
   3000.00       0.6173504779    -688.1222706211    -688.7396210990       0.0000000000   16243.8423656500       0.0000000000
   3040.00       0.6272588645    -688.1237941795    -688.7510530440       0.0000000000   16504.5537045720       0.0000000000
   3080.00       0.6158727048    -688.1235651112    -688.7394378160       0.0000000000   16204.9589207793       0.0000000000
   3120.00       0.6049382664    -688.1190048356    -688.7239431020       0.0000000000   15917.2499144328       0.0000000000
   3160.00       0.6237549671    -688.1245285399    -688.7482835070       0.0000000000   16412.3584955217       0.0000000000
   3200.00       0.6275817659    -688.1232153351    -688.7507971010       0.0000000000   16513.0499497174       0.0000000000
   3240.00       0.6140170298    -688.1217618992    -688.7357789290       0.0000000000   16156.1320495353       0.0000000000
   3280.00       0.6033073155    -688.1212694545    -688.7245767700       0.0000000000   15874.3360259649       0.0000000000
   3320.00       0.6038126491    -688.1214247369    -688.7252373860       0.0000000000   15887.6324577952       0.0000000000
   3360.00       0.6139838871    -688.1217801019    -688.7357639890       0.0000000000   16155.2599946323       0.0000000000
   3400.00       0.6265881434    -688.1229292346    -688.7495173780       0.0000000000   16486.9055655542       0.0000000000
   3440.00       0.6243393459    -688.1245500601    -688.7488894060       0.0000000000   16427.7347821088       0.0000000000
   3480.00       0.6068939074    -688.1189629406    -688.7258568480       0.0000000000   15968.7071091061       0.0000000000
   3520.00       0.6185143679    -688.1238341571    -688.7423485250       0.0000000000   16274.4668608506       0.0000000000
   3560.00       0.6287954426    -688.1240002054    -688.7527956480       0.0000000000   16544.9844391294       0.0000000000
   3600.00       0.6164729741    -688.1220414509    -688.7385144250       0.0000000000   16220.7533217560       0.0000000000
   3640.00       0.6034975009    -688.1214555781    -688.7249530790       0.0000000000   15879.3402189437       0.0000000000
   3680.00       0.6003935603    -688.1215993947    -688.7219929550       0.0000000000   15797.6687475398       0.0000000000
   3720.00       0.6067638870    -688.1217039380    -688.7284678250       0.0000000000   15965.2859884437       0.0000000000
   3760.00       0.6199097878    -688.1222635722    -688.7421733600       0.0000000000   16311.1834111122       0.0000000000
   3800.00       0.6291929009    -688.1242412361    -688.7534341370       0.0000000000   16555.4424360088       0.0000000000
   3840.00       0.6148922686    -688.1233789464    -688.7382712150       0.0000000000   16179.1614977424       0.0000000000
   3880.00       0.6064750885    -688.1195015255    -688.7259766140       0.0000000000   15957.6870654016       0.0000000000
   3920.00       0.6271377432    -688.1249390428    -688.7520767860       0.0000000000   16501.3667404197       0.0000000000
   3960.00       0.6269039814    -688.1228646116    -688.7497685930       0.0000000000   16495.2159538432       0.0000000000
   4000.00       0.6126452320    -688.1216579290    -688.7343031610       0.0000000000   16120.0370477461       0.0000000000
   4040.00       0.6029665636    -688.1214625644    -688.7244291280       0.0000000000   15865.3700968815       0.0000000000
   4080.00       0.6031250779    -688.1213865271    -688.7245116050       0.0000000000   15869.5409554482       0.0000000000
   4120.00       0.6137564506    -688.1217397524    -688.7354962030       0.0000000000   16149.2756419911       0.0000000000
   4160.00       0.6274388776    -688.1234571034    -688.7508959810       0.0000000000   16509.2902455980       0.0000000000
   4200.00       0.6217500787    -688.1247523353    -688.7465024140       0.0000000000   16359.6054940640       0.0000000000
   4240.00       0.6057652518    -688.1182412642    -688.7240065160       0.0000000000   15939.0097088293       0.0000000000
   4280.00       0.6230620493    -688.1248558517    -688.7479179010       0.0000000000   16394.1263123204       0.0000000000
   4320.00       0.6287704637    -688.1233934833    -688.7521639470       0.0000000000   16544.3271907002       0.0000000000
   4360.00       0.6155286156    -688.1219344444    -688.7374630600       0.0000000000   16195.9051819225       0.0000000000
   4400.00       0.6035271210    -688.1216343960    -688.7251615170       0.0000000000   15880.1195893457       0.0000000000
   4440.00       0.6000444905    -688.1214355465    -688.7214800370       0.0000000000   15788.4839569848       0.0000000000
   4480.00       0.6079637303    -688.1215765887    -688.7295403190       0.0000000000   15996.8564904802       0.0000000000
   4520.00       0.6242029353    -688.1225827017    -688.7467856370       0.0000000000   16424.1455192184       0.0000000000
   4560.00       0.6328785557    -688.1245943783    -688.7574729340       0.0000000000   16652.4200816993       0.0000000000
   4600.00       0.6184806344    -688.1216827986    -688.7401634330       0.0000000000   16273.5792578384       0.0000000000
   4640.00       0.6167730221    -688.1213594089    -688.7381324310       0.0000000000   16228.6482390304       0.0000000000
   4680.00       0.6309549057    -688.1243012023    -688.7552561080       0.0000000000   16601.8046401019       0.0000000000
   4720.00       0.6252601009    -688.1227991101    -688.7480592110       0.0000000000   16451.9618608769       0.0000000000
   4760.00       0.6097400850    -688.1219274510    -688.7316675360       0.0000000000   16043.5962702209       0.0000000000
   4800.00       0.5989036322    -688.1215390428    -688.7204426750       0.0000000000   15758.4654783030       0.0000000000
   4840.00       0.5996542478    -688.1215354642    -688.7211897120       0.0000000000   15778.2158177565       0.0000000000
   4880.00       0.6122906356    -688.1220333794    -688.7343240150       0.0000000000   16110.7068399851       0.0000000000
   4920.00       0.6277892692    -688.1236824468    -688.7514717160       0.0000000000   16518.5098145517       0.0000000000
