# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
      0.00       0.1141249490    -688.7593251110    -688.8734500600       0.0000000000    3002.8772102765       0.0000000000
     40.00       0.1005864973    -688.7572855667    -688.8578720640       0.0000000000    2646.6509141118       0.0000000000
     80.00       0.0856024397    -688.7561172873    -688.8417197270       0.0000000000    2252.3875607127       0.0000000000
    120.00       0.0846516070    -688.7575681970    -688.8422198040       0.0000000000    2227.3690697326       0.0000000000
    160.00       0.0831612142    -688.7576232228    -688.8407844370       0.0000000000    2188.1535735689       0.0000000000
    200.00       0.0768367325    -688.7571821745    -688.8340189070       0.0000000000    2021.7426160236       0.0000000000
    240.00       0.0705522462    -688.7569615668    -688.8275138130       0.0000000000    1856.3840255255       0.0000000000
    280.00       0.0683700979    -688.7568088071    -688.8251789050       0.0000000000    1798.9669280756       0.0000000000
    320.00       0.0728173611    -688.7568026769    -688.8296200380       0.0000000000    1915.9841580100       0.0000000000
    360.00       0.0814104453    -688.7583456917    -688.8397561370       0.0000000000    2142.0870130245       0.0000000000
    400.00       0.0788074362    -688.7585228708    -688.8373303070       0.0000000000    2073.5961437935       0.0000000000
    440.00       0.0682062826    -688.7571484844    -688.8253547670       0.0000000000    1794.6565890352       0.0000000000
    480.00       0.0617484479    -688.7581220081    -688.8198704560       0.0000000000    1624.7368240951       0.0000000000
    520.00       0.0558719422    -688.7571489448    -688.8130208870       0.0000000000    1470.1130956106       0.0000000000
    560.00       0.0552552042    -688.7578551688    -688.8131103730       0.0000000000    1453.8853685601       0.0000000000
    600.00       0.0534785546    -688.7579933924    -688.8114719470       0.0000000000    1407.1378288155       0.0000000000
    640.00       0.0476232827    -688.7573678923    -688.8049911750       0.0000000000    1253.0728078789       0.0000000000
    680.00       0.0458480847    -688.7569619353    -688.8028100200       0.0000000000    1206.3634632919       0.0000000000
    720.00       0.0510071471    -688.7584958449    -688.8095029920       0.0000000000    1342.1096876112       0.0000000000
    760.00       0.0503801065    -688.7582023505    -688.8085824570       0.0000000000    1325.6108760038       0.0000000000
    800.00       0.0499370269    -688.7576710031    -688.8076080300       0.0000000000    1313.9524833207       0.0000000000
    840.00       0.0520561990    -688.7594531900    -688.8115093890       0.0000000000    1369.7125399630       0.0000000000
    880.00       0.0420252420    -688.7577741970    -688.7997994390       0.0000000000    1105.7761050409       0.0000000000
    920.00       0.0358313337    -688.7569156533    -688.7927469870       0.0000000000     942.8008205035       0.0000000000
    960.00       0.0434561333    -688.7584235887    -688.8018797220       0.0000000000    1143.4259875912       0.0000000000
   1000.00       0.0494525425    -688.7587689575    -688.8082215000       0.0000000000    1301.2046383626       0.0000000000
   1040.00       0.0469808089    -688.7580874051    -688.8050682140       0.0000000000    1236.1679164983       0.0000000000
   1080.00       0.0420082093    -688.7582728857    -688.8002810950       0.0000000000    1105.3279373480       0.0000000000
   1120.00       0.0377203950    -688.7574964240    -688.7952168190       0.0000000000     992.5061567207       0.0000000000
   1160.00       0.0428587488    -688.7580649222    -688.8009236710       0.0000000000    1127.7074921037       0.0000000000
   1200.00       0.0510054062    -688.7593555868    -688.8103609930       0.0000000000    1342.0638810400       0.0000000000
   1240.00       0.0467278460    -688.7588719960    -688.8055998420       0.0000000000    1229.5119091203       0.0000000000
   1280.00       0.0363262314    -688.7576596906    -688.7939859220       0.0000000000     955.8226604675       0.0000000000
   1320.00       0.0368547914    -688.7575979986    -688.7944527900       0.0000000000     969.7302303816       0.0000000000
   1360.00       0.0483189761    -688.7593039449    -688.8076229210       0.0000000000    1271.3780238625       0.0000000000
   1400.00       0.0527554809    -688.7593220801    -688.8120775610       0.0000000000    1388.1121762364       0.0000000000
   1440.00       0.0463124759    -688.7590243571    -688.8053368330       0.0000000000    1218.5826114084       0.0000000000
   1480.00       0.0373777478    -688.7578250132    -688.7952027610       0.0000000000     983.4903604428       0.0000000000
   1520.00       0.0387183270    -688.7587221880    -688.7974405150       0.0000000000    1018.7639325013       0.0000000000
   1560.00       0.0429408227    -688.7593399483    -688.8022807710       0.0000000000    1129.8670370633       0.0000000000
   1600.00       0.0408884896    -688.7586609954    -688.7995494850       0.0000000000    1075.8656613358       0.0000000000
   1640.00       0.0397006379    -688.7584750041    -688.7981756420       0.0000000000    1044.6106827539       0.0000000000
   1680.00       0.0431396732    -688.7590283598    -688.8021680330       0.0000000000    1135.0992273320       0.0000000000
   1720.00       0.0466297346    -688.7592492144    -688.8058789490       0.0000000000    1226.9303826608       0.0000000000
   1760.00       0.0503511738    -688.7587691872    -688.8091203610       0.0000000000    1324.8495951186       0.0000000000
   1800.00       0.0567069279    -688.7600075131    -688.8167144410       0.0000000000    1492.0833977850       0.0000000000
   1840.00       0.0575565867    -688.7591209243    -688.8166775110       0.0000000000    1514.4397793434       0.0000000000
   1880.00       0.0574640181    -688.7595045949    -688.8169686130       0.0000000000    1512.0040973209       0.0000000000
   1920.00       0.0557847770    -688.7595144340    -688.8152992110       0.0000000000    1467.8195891062       0.0000000000
   1960.00       0.0523113159    -688.7587445571    -688.8110558730       0.0000000000    1376.4252234984       0.0000000000
   2000.00       0.0551959106    -688.7589614094    -688.8141573200       0.0000000000    1452.3252230326       0.0000000000
   2040.00       0.0625305885    -688.7596799135    -688.8222105020       0.0000000000    1645.3166548420       0.0000000000
   2080.00       0.0668439227    -688.7596424523    -688.8264863750       0.0000000000    1758.8099169087       0.0000000000
   2120.00       0.0693744200    -688.7591487880    -688.8285232080       0.0000000000    1825.3928417190       0.0000000000
   2160.00       0.0755947041    -688.7599650879    -688.8355597920       0.0000000000    1989.0621299270       0.0000000000
   2200.00       0.0764399441    -688.7608164509    -688.8372563950       0.0000000000    2011.3022446455       0.0000000000
   2240.00       0.0674475056    -688.7593575854    -688.8268050910       0.0000000000    1774.6915054150       0.0000000000
   2280.00       0.0601865161    -688.7600138619    -688.8202003780       0.0000000000    1583.6389778504       0.0000000000
   2320.00       0.0535808830    -688.7594587990    -688.8130396820       0.0000000000    1409.8303134150       0.0000000000
   2360.00       0.0514126881    -688.7593006189    -688.8107133070       0.0000000000    1352.7803585930       0.0000000000
   2400.00       0.0553003535    -688.7601133935    -688.8154137470       0.0000000000    1455.0733452791       0.0000000000
   2440.00       0.0565300447    -688.7605105563    -688.8170406010       0.0000000000    1487.4292113290       0.0000000000
   2480.00       0.0538578056    -688.7593324564    -688.8131902620       0.0000000000    1417.1167520445       0.0000000000
   2520.00       0.0597888621    -688.7602032879    -688.8199921500       0.0000000000    1573.1758323256       0.0000000000
   2560.00       0.0651091518    -688.7616641212    -688.8267732730       0.0000000000    1713.1642995880       0.0000000000
   2600.00       0.0599208425    -688.7595931755    -688.8195140180       0.0000000000    1576.6485256833       0.0000000000
   2640.00       0.0573829961    -688.7607763659    -688.8181593620       0.0000000000    1509.8722315446       0.0000000000
   2680.00       0.0523502774    -688.7600969966    -688.8124472740       0.0000000000    1377.4503861866       0.0000000000
   2720.00       0.0484933830    -688.7597026000    -688.8081959830       0.0000000000    1275.9670518324       0.0000000000
   2760.00       0.0505245814    -688.7603654016    -688.8108899830       0.0000000000    1329.4123285919       0.0000000000
   2800.00       0.0516119542    -688.7608618968    -688.8124738510       0.0000000000    1358.0234862282       0.0000000000
   2840.00       0.0481925110    -688.7601834230    -688.8083759340       0.0000000000    1268.0504519618       0.0000000000
   2880.00       0.0489558451    -688.7602326499    -688.8091884950       0.0000000000    1288.1354424210       0.0000000000
   2920.00       0.0531043170    -688.7616256140    -688.8147299310       0.0000000000    1397.2908191563       0.0000000000
   2960.00       0.0476651915    -688.7609830815    -688.8086482730       0.0000000000    1254.1755207577       0.0000000000
   3000.00       0.0394099782    -688.7600384288    -688.7994484070       0.0000000000    1036.9627886684       0.0000000000
   3040.00       0.0390469388    -688.7606629672    -688.7997099060       0.0000000000    1027.4104274994       0.0000000000
   3080.00       0.0419504854    -688.7607033526    -688.8026538380       0.0000000000    1103.8090940792       0.0000000000
