#    t=      ,    KineticE=    ,      TotalE=      ,      PotentialE=    ,    P(GPa)=       ,     T(K)=         ,     xi=
   1760.00   ,    0.0506950892 ,  -1151.8637546008 ,  -1151.9144496900   ,    0.0000000000  ,  1524.4557268614  ,     0.0000000000
   1800.00   ,    0.0439292245 ,  -1151.8618302755 ,  -1151.9057595000   ,    0.0000000000  ,  1320.9989145876  ,     0.0000000000
   1840.00   ,    0.0442385183 ,  -1151.8631619317 ,  -1151.9074004500   ,    0.0000000000  ,  1330.2997125356  ,     0.0000000000
   1880.00   ,    0.0527326282 ,  -1151.8649619818 ,  -1151.9176946100   ,    0.0000000000  ,  1585.7267113372  ,     0.0000000000
   1920.00   ,    0.0505224723 ,  -1151.8621502077 ,  -1151.9126726800   ,    0.0000000000  ,  1519.2649530485  ,     0.0000000000
   1960.00   ,    0.0413437161 ,  -1151.8619849639 ,  -1151.9033286800   ,    0.0000000000  ,  1243.2499041845  ,     0.0000000000
   2000.00   ,    0.0396855777 ,  -1151.8635689123 ,  -1151.9032544900   ,    0.0000000000  ,  1193.3879025306  ,     0.0000000000
   2040.00   ,    0.0444536633 ,  -1151.8630990567 ,  -1151.9075527200   ,    0.0000000000  ,  1336.7693542147  ,     0.0000000000
   2080.00   ,    0.0500782287 ,  -1151.8635410613 ,  -1151.9136192900   ,    0.0000000000  ,  1505.9060702490  ,     0.0000000000
   2120.00   ,    0.0511144296 ,  -1151.8636838204 ,  -1151.9147982500   ,    0.0000000000  ,  1537.0657424112  ,     0.0000000000
   2160.00   ,    0.0454459143 ,  -1151.8614643257 ,  -1151.9069102400   ,    0.0000000000  ,  1366.6074041267  ,     0.0000000000
   2200.00   ,    0.0492405842 ,  -1151.8636887358 ,  -1151.9129293200   ,    0.0000000000  ,  1480.7171997456  ,     0.0000000000
   2240.00   ,    0.0619886808 ,  -1151.8648969292 ,  -1151.9268856100   ,    0.0000000000  ,  1864.0661438420  ,     0.0000000000
