# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
      0.00       0.0381110848    -688.8353389752    -688.8734500600       0.0000000000    1002.7860621573       0.0000000000
     40.00       0.0339306978    -688.8344742302    -688.8684049280       0.0000000000     892.7909274284       0.0000000000
     80.00       0.0301228207    -688.8342370023    -688.8643598230       0.0000000000     792.5973469341       0.0000000000
    120.00       0.0305860362    -688.8347078678    -688.8652939040       0.0000000000     804.7855598076       0.0000000000
    160.00       0.0307278093    -688.8347853197    -688.8655131290       0.0000000000     808.5159218475       0.0000000000
    200.00       0.0287104481    -688.8346646939    -688.8633751420       0.0000000000     755.4347321077       0.0000000000
    240.00       0.0263410859    -688.8344692231    -688.8608103090       0.0000000000     693.0916277299       0.0000000000
    280.00       0.0262340087    -688.8345212653    -688.8607552740       0.0000000000     690.2741910344       0.0000000000
    320.00       0.0280218976    -688.8348694764    -688.8628913740       0.0000000000     737.3174613263       0.0000000000
    360.00       0.0278627594    -688.8351601876    -688.8630229470       0.0000000000     733.1301881558       0.0000000000
    400.00       0.0244591792    -688.8347230958    -688.8591822750       0.0000000000     643.5745421206       0.0000000000
    440.00       0.0229338178    -688.8349552972    -688.8578891150       0.0000000000     603.4389440761       0.0000000000
    480.00       0.0219259719    -688.8352547851    -688.8571807570       0.0000000000     576.9203130519       0.0000000000
    520.00       0.0186399266    -688.8348058264    -688.8534457530       0.0000000000     490.4572698736       0.0000000000
    560.00       0.0168315316    -688.8349366584    -688.8517681900       0.0000000000     442.8744391162       0.0000000000
    600.00       0.0162310067    -688.8350235173    -688.8512545240       0.0000000000     427.0733137413       0.0000000000
    640.00       0.0158136844    -688.8349254526    -688.8507391370       0.0000000000     416.0926509241       0.0000000000
    680.00       0.0161395655    -688.8351254865    -688.8512650520       0.0000000000     424.6672955069       0.0000000000
    720.00       0.0153381560    -688.8352175800    -688.8505557360       0.0000000000     403.5804566349       0.0000000000
    760.00       0.0141254505    -688.8346858045    -688.8488112550       0.0000000000     371.6715207708       0.0000000000
    800.00       0.0168124698    -688.8352566282    -688.8520690980       0.0000000000     442.3728798559       0.0000000000
    840.00       0.0178440419    -688.8355395481    -688.8533835900       0.0000000000     469.5158008930       0.0000000000
    880.00       0.0137864538    -688.8348811752    -688.8486676290       0.0000000000     362.7517757202       0.0000000000
    920.00       0.0118608825    -688.8346824085    -688.8465432910       0.0000000000     312.0857809800       0.0000000000
    960.00       0.0151863506    -688.8350465224    -688.8502328730       0.0000000000     399.5861239988       0.0000000000
   1000.00       0.0195878670    -688.8352590720    -688.8548469390       0.0000000000     515.3996555971       0.0000000000
   1040.00       0.0212906255    -688.8353611155    -688.8566517410       0.0000000000     560.2029595661       0.0000000000
   1080.00       0.0194732277    -688.8351307313    -688.8546039590       0.0000000000     512.3832450586       0.0000000000
   1120.00       0.0187744984    -688.8346415736    -688.8534160720       0.0000000000     493.9981465931       0.0000000000
   1160.00       0.0236970137    -688.8353888793    -688.8590858930       0.0000000000     623.5202996669       0.0000000000
   1200.00       0.0266652163    -688.8357748137    -688.8624400300       0.0000000000     701.6202070480       0.0000000000
   1240.00       0.0227894144    -688.8352179026    -688.8580073170       0.0000000000     599.6393748145       0.0000000000
   1280.00       0.0186206528    -688.8348726512    -688.8534933040       0.0000000000     489.9501322530       0.0000000000
   1320.00       0.0194042273    -688.8350536417    -688.8544578690       0.0000000000     510.5676945102       0.0000000000
   1360.00       0.0229914482    -688.8354654078    -688.8584568560       0.0000000000     604.9553269132       0.0000000000
   1400.00       0.0240829248    -688.8356732712    -688.8597561960       0.0000000000     633.6744653284       0.0000000000
   1440.00       0.0206842695    -688.8354266105    -688.8561108800       0.0000000000     544.2484047341       0.0000000000
   1480.00       0.0175944483    -688.8348925327    -688.8524869810       0.0000000000     462.9484474756       0.0000000000
   1520.00       0.0203682026    -688.8354480374    -688.8558162400       0.0000000000     535.9319939061       0.0000000000
   1560.00       0.0234001854    -688.8359070916    -688.8593072770       0.0000000000     615.7100970104       0.0000000000
